group_id,label,p_resnet,p_densenet,rank_resnet,rank_densenet,hardness,hard_normal
normal:normal2:741,0,0.8848179578781128,0.8955060243606567,0.9969262295081968,0.9969262295081968,0.9969262295081968,True
normal:normal2:1356,0,0.7944586873054504,0.9952515363693236,0.9948770491803278,0.9989754098360656,0.9969262295081966,True
normal:normal2:611,0,0.7650535702705383,0.9810356497764589,0.992827868852459,0.9979508196721312,0.9953893442622951,True
normal:normal2:723,0,0.7747952342033386,0.8844314813613892,0.9938524590163934,0.9959016393442623,0.9948770491803278,True
normal:normal2:1064,0,0.94852614402771,0.7564007639884949,0.9979508196721312,0.9918032786885246,0.9948770491803278,True
normal:normal2:1250,0,0.4987598657608032,0.8336058855056763,0.9877049180327869,0.9948770491803278,0.9912909836065573,True
normal:normal2:765,0,0.8806599974632263,0.4427261352539062,0.9959016393442623,0.9815573770491803,0.9887295081967213,True
normal:im:279,0,0.5477716326713562,0.6291235089302063,0.9887295081967213,0.9877049180327869,0.9882172131147542,True
normal:normal2:736,0,0.4855540096759796,0.699634850025177,0.985655737704918,0.9907786885245902,0.9882172131147541,True
normal:normal2:1048,0,0.3439053297042846,0.8193642497062683,0.9805327868852459,0.9938524590163934,0.9871926229508197,True
normal:normal2:425,0,0.352530688047409,0.6351497173309326,0.9815573770491803,0.9887295081967213,0.9851434426229508,True
normal:normal2:1357,0,0.5651888251304626,0.2578266859054565,0.9897540983606558,0.9754098360655737,0.9825819672131147,True
normal:normal2:1419,0,0.1864214986562729,0.6472603678703308,0.9733606557377049,0.9897540983606558,0.9815573770491803,True
normal:normal2:1400,0,0.9707531332969666,0.1361775398254394,0.9989754098360656,0.9600409836065574,0.9795081967213115,True
normal:normal2:1086,0,0.2271854281425476,0.4976942539215088,0.9754098360655737,0.9825819672131147,0.9789959016393442,True
normal:normal2:725,0,0.1542094051837921,0.5244472622871399,0.9692622950819673,0.985655737704918,0.9774590163934427,True
normal:normal2:554,0,0.3214353919029236,0.1854207068681717,0.9784836065573771,0.9651639344262295,0.9718237704918034,True
normal:normal2:1365,0,0.1091067194938659,0.3977644145488739,0.9641393442622951,0.9784836065573771,0.9713114754098361,True
normal:normal2:1406,0,0.1958146095275879,0.228351205587387,0.9743852459016393,0.9682377049180327,0.971311475409836,True
normal:normal2:980,0,0.6220141053199768,0.0992598384618759,0.9907786885245902,0.9487704918032787,0.9697745901639344,True
normal:normal2:396,0,0.1188110262155532,0.2477337270975113,0.9651639344262295,0.9733606557377049,0.9692622950819672,True
normal:normal2:531,0,0.0768706277012825,0.427051842212677,0.9590163934426229,0.9795081967213115,0.9692622950819672,True
normal:normal2:621,0,0.242872804403305,0.1194793507456779,0.9774590163934426,0.9559426229508197,0.9667008196721312,True
normal:im:735,0,0.0381845012307167,0.7770262956619263,0.9375,0.992827868852459,0.9651639344262295,True
normal:normal2:1438,0,0.057644136250019,0.5186436772346497,0.9456967213114754,0.9846311475409836,0.9651639344262295,True
normal:normal2:803,0,0.0642455965280532,0.3106811940670013,0.9487704918032787,0.9774590163934426,0.9631147540983607,True
normal:im:301,0,0.0518403127789497,0.4319980442523956,0.9436475409836066,0.9805327868852459,0.9620901639344263,True
normal:im:377,0,0.0602616108953952,0.2537314593791961,0.9467213114754098,0.9743852459016393,0.9605532786885246,True
normal:normal2:1437,0,0.3993081748485565,0.0753275007009506,0.9846311475409836,0.9364754098360656,0.9605532786885246,True
normal:im:732,0,0.3399247825145721,0.0786441415548324,0.9795081967213115,0.9385245901639344,0.959016393442623,True
normal:normal2:719,0,0.3612427115440368,0.0685136169195175,0.9825819672131147,0.930327868852459,0.9564549180327868,True
normal:normal2:876,0,0.069735862314701,0.1179283484816551,0.9549180327868853,0.9549180327868853,0.9549180327868853,True
normal:normal2:890,0,0.1335613578557968,0.0747348293662071,0.9672131147540983,0.9354508196721312,0.9513319672131147,True
normal:im:326,0,0.0557098239660263,0.114673413336277,0.944672131147541,0.9538934426229508,0.9492827868852459,True
normal:normal2:793,0,0.050191443413496,0.1283743679523468,0.9395491803278688,0.9590163934426229,0.9492827868852458,True
normal:normal2:1015,0,0.0360178090631961,0.1398478001356125,0.9323770491803278,0.9610655737704918,0.9467213114754098,True
normal:im:651,0,0.0229280441999435,0.2330290675163269,0.9211065573770492,0.9692622950819673,0.9451844262295082,True
