architecture,fold,checkpoint,category,group_id,filename,p_pneumonia,border_mass_15pct
resnet18,0,stretch_manh_fold0.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.9630411863327026,0.5013906955718994
resnet18,0,stretch_manh_fold0.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.2335241436958313,0.6348947882652283
resnet18,0,stretch_manh_fold0.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.015197696164250374,0.6729595065116882
resnet18,0,stretch_manh_fold0.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.9197999835014343,0.4285465180873871
resnet18,1,stretch_manh_fold1.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.40281662344932556,0.6063358783721924
resnet18,1,stretch_manh_fold1.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.8377655148506165,0.44927963614463806
resnet18,1,stretch_manh_fold1.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.0001348258083453402,0.8955734968185425
resnet18,1,stretch_manh_fold1.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.38195163011550903,0.29606321454048157
resnet18,2,stretch_manh_fold2.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.6460084319114685,0.503508448600769
resnet18,2,stretch_manh_fold2.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.5925430655479431,0.39430204033851624
resnet18,2,stretch_manh_fold2.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.001443111221306026,0.7650434374809265
resnet18,2,stretch_manh_fold2.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.7695555686950684,0.3045979142189026
resnet18,3,stretch_manh_fold3.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.31817591190338135,0.6015397310256958
resnet18,3,stretch_manh_fold3.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.17687879502773285,0.8684787750244141
resnet18,3,stretch_manh_fold3.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.016197659075260162,0.9817154407501221
resnet18,3,stretch_manh_fold3.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.9772567749023438,0.37878748774528503
resnet18,4,stretch_manh_fold4.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.9611316323280334,0.47810661792755127
resnet18,4,stretch_manh_fold4.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.7168859243392944,0.5589367747306824
resnet18,4,stretch_manh_fold4.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.03362647071480751,0.8458163142204285
resnet18,4,stretch_manh_fold4.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.9514113068580627,0.3944421708583832
densenet121,0,densenet121_robust_fold0.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.44961017370224,0.4041169583797455
densenet121,0,densenet121_robust_fold0.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.7718071341514587,0.4371633231639862
densenet121,0,densenet121_robust_fold0.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.0007784516783431172,0.6759243607521057
densenet121,0,densenet121_robust_fold0.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.5676232576370239,0.21423472464084625
densenet121,1,densenet121_robust_fold1.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.8536202311515808,0.39919525384902954
densenet121,1,densenet121_robust_fold1.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.9765085577964783,0.23079311847686768
densenet121,1,densenet121_robust_fold1.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.0029191842768341303,0.9042969942092896
densenet121,1,densenet121_robust_fold1.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.6578338742256165,0.058227717876434326
densenet121,2,densenet121_robust_fold2.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.7393776178359985,0.3641360402107239
densenet121,2,densenet121_robust_fold2.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.5556058287620544,0.28720608353614807
densenet121,2,densenet121_robust_fold2.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.05067966505885124,0.904296875
densenet121,2,densenet121_robust_fold2.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.8719565868377686,0.19250279664993286
densenet121,3,densenet121_robust_fold3.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.4133024513721466,0.5190991163253784
densenet121,3,densenet121_robust_fold3.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.5834572911262512,0.4406072795391083
densenet121,3,densenet121_robust_fold3.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.010281826369464397,0.9908409118652344
densenet121,3,densenet121_robust_fold3.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.898384690284729,0.18433666229248047
densenet121,4,densenet121_robust_fold4.pth,TN,normal:normal2:316,NORMAL2-IM-0316-0001.jpeg,0.11157553642988205,0.532181978225708
densenet121,4,densenet121_robust_fold4.pth,FP,normal:normal2:364,NORMAL2-IM-0364-0001.jpeg,0.7430295944213867,0.4693376421928406
densenet121,4,densenet121_robust_fold4.pth,FN,pneumonia:bacteria:154,person154_bacteria_728.jpeg,0.03553047403693199,0.9194374084472656
densenet121,4,densenet121_robust_fold4.pth,TP,pneumonia:virus:1655,person1655_virus_2861.jpeg,0.44647371768951416,0.6632577776908875
